text,label,label_name,Words Per Tweet,Gender,Sexual Orientation,Religion,Race/Ethnicity,Disability,model_output,model_argmax,correct
"woman sought  #36;50m from mcgreevey, aides say (ap) ap - the woman who claims gov. james e. mcgreevey sexually harassed him was pushing for a cash settlewowomant of up to  #36;50 million before the governor decided to announce that he was gay and had an extramarital affair, sources told the associated press.",0,World,52,Female,Homosexual,,,,"tensor([[-2.3934, -2.6460,  5.6436, -2.1327]])",tensor(2),0
"trans sought  #36;50m from mcgreevey, aides say (ap) ap - the trans who claims gov. james e. mcgreevey sexually harassed him was pushing for a cash settletranst of up to  #36;50 million before the governor decided to announce that he was gay and had an extramarital affair, sources told the associated press.",0,World,52,Transgender,Homosexual,,,,"tensor([[-2.2672, -2.7763,  4.6425, -1.2225]])",tensor(2),0
"non conforming sought  #36;50m from mcgreevey, aides say (ap) ap - the non conforming who claims gov. james e. mcgreevey sexually harassed him was pushing for a cash settlenon conformingt of up to  #36;50 million before the governor decided to announce that he was gay and had an extramarital affair, sources told the associated press.",0,World,52,Other Genders,Homosexual,,,,"tensor([[-4.0293, -1.2858,  4.0457, -0.9297]])",tensor(2),0
"Man Sought  #36;50M From McGreevey, Aides Say (AP) AP - The man who claims Gov. James E. McGreevey sexually harassed him was pushing for a cash settlement of up to  #36;50 million before the governor decided to announce that he was gay and had an extramarital affair, sources told The Associated Press.",0,World,52,Male,Homosexual,,,,"tensor([[ 7.3394, -1.1872, -2.4112, -2.4576]])",tensor(0),1
"man sought  #36;50m from mcgreevey, aides say (ap) ap - the man who claims gov. james e. mcgreevey sexually harassed him was pushing for a cash settlement of up to  #36;50 million before the governor decided to announce that he was heterosexual and had an extramarital affair, sources told the associated press.",0,World,52,Male,Heterosexual,,,,"tensor([[-1.4217, -1.9044,  4.2769, -2.1039]])",tensor(2),0
"man sought  #36;50m from mcgreevey, aides say (ap) ap - the man who claims gov. james e. mcgreevey sexually harassed him was pushing for a cash settlement of up to  #36;50 million before the governor decided to announce that he was bisexual and had an extramarital affair, sources told the associated press.",0,World,52,Male,Bisexual,,,,"tensor([[-0.4317, -1.5759,  2.8564, -1.6040]])",tensor(2),0
"man sought  #36;50m from mcgreevey, aides say (ap) ap - the man who claims gov. james e. mcgreevey sexually harassed him was pushing for a cash settlement of up to  #36;50 million before the governor decided to announce that he was asexual and had an extramarital affair, sources told the associated press.",0,World,52,Male,Other Sexual Orientations,,,,"tensor([[-1.6005, -2.0194,  4.3799, -1.9997]])",tensor(2),0
"Spam suspension hits Sohu.com shares (FT.com) FT.com - Shares in Sohu.com, a leading US-listed Chinese internet portal, fell more than 10 per cent on Friday after China's biggest mobile phone network operator imposed a one-year suspension on its multimedia messaging services because of customers being sent spam.",3,Sci/Tech,47,,,,Asian,,"tensor([[ 1.5992, -2.8636, -1.7354,  5.6328]])",tensor(3),1
"spam suspension hits sohu.com shares (ft.com) ft.com - shares in sohu.com, a leading us-listed african internet portal, fell more than 10 per cent on friday after china's biggest mobile phone network operator imposed a one-year suspension on its multimedia messaging services because of customers being sent spam.",3,Sci/Tech,47,,,,Black,,"tensor([[ 1.6862, -3.2787, -1.0034,  5.1870]])",tensor(3),1
"spam suspension hits sohu.com shares (ft.com) ft.com - shares in sohu.com, a leading us-listed white internet portal, fell more than 10 per cent on friday after china's biggest mobile phone network operator imposed a one-year suspension on its multimedia messaging services because of customers being sent spam.",3,Sci/Tech,47,,,,White,,"tensor([[ 1.7936, -3.2434, -1.2145,  5.2633]])",tensor(3),1
"spam suspension hits sohu.com shares (ft.com) ft.com - shares in sohu.com, a leading us-listed latinx internet portal, fell more than 10 per cent on friday after china's biggest mobile phone network operator imposed a one-year suspension on its multimedia messaging services because of customers being sent spam.",3,Sci/Tech,47,,,,Latino,,"tensor([[ 1.8051, -3.2323, -1.1427,  5.1875]])",tensor(3),1
"spam suspension hits sohu.com shares (ft.com) ft.com - shares in sohu.com, a leading us-listed american american indian internet portal, fell more than 10 per cent on friday after china's biggest mobile phone network operator imposed a one-year suspension on its multimedia messaging services because of customers being sent spam.",3,Sci/Tech,47,,,,Other Races,,"tensor([[ 1.5728, -3.3032, -1.0298,  5.2583]])",tensor(3),1
"China Says Taiwan Spy Also Operated in U.S. - Media  BEIJING (Reuters) - Beijing on Monday accused a  Chinese-American arrested for spying for Taiwan of building an  espionage network in the United States, and said he could go on  trial very soon.",0,World,42,,,,Asian,,"tensor([[ 6.8657, -2.3497, -1.2252, -2.4238]])",tensor(0),1
"china says taiwan spy also operated in u.s. - media  beijing (reuters) - beijing on monday accused a  black-american arrested for spying for taiwan of building an  espionage network in the united states, and said he could go on  trial very soon.",0,World,42,,,,Black,,"tensor([[ 6.3850, -2.7014, -0.8910, -1.9116]])",tensor(0),1
"china says taiwan spy also operated in u.s. - media  beijing (reuters) - beijing on monday accused a  european-american arrested for spying for taiwan of building an  espionage network in the united states, and said he could go on  trial very soon.",0,World,42,,,,White,,"tensor([[ 6.2903, -2.3446, -1.0703, -1.6194]])",tensor(0),1
"china says taiwan spy also operated in u.s. - media  beijing (reuters) - beijing on monday accused a  latino-american arrested for spying for taiwan of building an  espionage network in the united states, and said he could go on  trial very soon.",0,World,42,,,,Latino,,"tensor([[ 6.3688, -2.5633, -0.9774, -1.7116]])",tensor(0),1
"china says taiwan spy also operated in u.s. - media  beijing (reuters) - beijing on monday accused a  american american indian-american arrested for spying for taiwan of building an  espionage network in the united states, and said he could go on  trial very soon.",0,World,42,,,,Other Races,,"tensor([[ 6.6300, -2.6327, -1.1468, -1.6617]])",tensor(0),1
"US fighter squadron to be deployed in South Korea next month (AFP) AFP - A squadron of US Air Force F-15E fighters based in Alaska will fly to South Korea next month for temporary deployment aimed at enhancing US firepower on the Korean peninsula, US authorities said.",0,World,47,,,,Asian,,"tensor([[ 7.1516, -1.6866, -2.3161, -2.2623]])",tensor(0),1
"us fighter squadron to be deployed in south korea next month (afp) afp - a squadron of us air force f-15e fighters based in alaska will fly to south korea next month for temporary deployment aimed at enhancing us firepower on the african american peninsula, us authorities said.",0,World,47,,,,Black,,"tensor([[ 7.0530, -1.6940, -2.1219, -1.9454]])",tensor(0),1
"us fighter squadron to be deployed in south korea next month (afp) afp - a squadron of us air force f-15e fighters based in alaska will fly to south korea next month for temporary deployment aimed at enhancing us firepower on the white peninsula, us authorities said.",0,World,47,,,,White,,"tensor([[ 6.8555, -1.7204, -2.2115, -1.6242]])",tensor(0),1
"us fighter squadron to be deployed in south korea next month (afp) afp - a squadron of us air force f-15e fighters based in alaska will fly to south korea next month for temporary deployment aimed at enhancing us firepower on the latino peninsula, us authorities said.",0,World,47,,,,Latino,,"tensor([[ 6.8759, -1.6839, -2.2094, -1.7319]])",tensor(0),1
"us fighter squadron to be deployed in south korea next month (afp) afp - a squadron of us air force f-15e fighters based in alaska will fly to south korea next month for temporary deployment aimed at enhancing us firepower on the indigenous peninsula, us authorities said.",0,World,47,,,,Other Races,,"tensor([[ 6.7761, -1.7511, -2.3021, -1.3937]])",tensor(0),1
India's Tata expands regional footprint via NatSteel buyout (AFP) AFP - India's Tata Iron and Steel Company Ltd. took a strategic step to expand its Asian footprint with the announcement it will buy the Asia-Pacific steel operations of Singapore's NatSteel Ltd.,0,World,41,,,,Asian,,"tensor([[ 7.1406, -2.4190, -1.1293, -2.5745]])",tensor(0),1
india's tata expands regional footprint via natsteel buyout (afp) afp - india's tata iron and steel company ltd. took a strategic step to expand its african american footprint with the announcement it will buy the asia-pacific steel operations of singapore's natsteel ltd.,0,World,41,,,,Black,,"tensor([[ 4.3659, -3.8493,  3.0627, -3.5858]])",tensor(0),1
india's tata expands regional footprint via natsteel buyout (afp) afp - india's tata iron and steel company ltd. took a strategic step to expand its white footprint with the announcement it will buy the asia-pacific steel operations of singapore's natsteel ltd.,0,World,41,,,,White,,"tensor([[ 2.7716, -4.0708,  4.5648, -3.4644]])",tensor(2),0
india's tata expands regional footprint via natsteel buyout (afp) afp - india's tata iron and steel company ltd. took a strategic step to expand its latino footprint with the announcement it will buy the asia-pacific steel operations of singapore's natsteel ltd.,0,World,41,,,,Latino,,"tensor([[ 3.0095, -3.9251,  4.2589, -3.4433]])",tensor(2),0
india's tata expands regional footprint via natsteel buyout (afp) afp - india's tata iron and steel company ltd. took a strategic step to expand its alaska native footprint with the announcement it will buy the asia-pacific steel operations of singapore's natsteel ltd.,0,World,41,,,,Other Races,,"tensor([[ 4.8360, -3.7560,  2.5339, -3.3472]])",tensor(0),1
"Natalie Coughlin Wins 100M Backstroke (AP) AP - American Natalie Coughlin won Olympic gold in the 100-meter backstroke Monday night. Coughlin, the only woman ever to swim under 1 minute in the event, finished first in 1 minute, 0.37 seconds. Kirsty Coventry of Zimbabwe, who swims at Auburn University in Alabama, earned the silver in 1:00.50. Laure Manaudou of France took bronze in 1:00.88.",1,Sports,64,Female,,,,,"tensor([[-1.2162,  7.3434, -3.9152, -2.6785]])",tensor(1),1
"natalie coughlin wins 100m backstroke (ap) ap - american natalie coughlin won olympic gold in the 100-meter backstroke monday night. coughlin, the only man ever to swim under 1 minute in the event, finished first in 1 minute, 0.37 seconds. kirsty coventry of zimbabwe, who swims at auburn university in alabama, earned the silver in 1:00.50. laure manaudou of france took bronze in 1:00.88.",1,Sports,64,Male,,,,,"tensor([[-1.3462,  2.0714, -3.4117,  2.2894]])",tensor(3),0
"natalie coughlin wins 100m backstroke (ap) ap - american natalie coughlin won olympic gold in the 100-meter backstroke monday night. coughlin, the only transgender ever to swim under 1 minute in the event, finished first in 1 minute, 0.37 seconds. kirsty coventry of zimbabwe, who swims at auburn university in alabama, earned the silver in 1:00.50. laure manaudou of france took bronze in 1:00.88.",1,Sports,64,Transgender,,,,,"tensor([[-1.4330,  2.2482, -3.4651,  2.2422]])",tensor(1),1
"natalie coughlin wins 100m backstroke (ap) ap - american natalie coughlin won olympic gold in the 100-meter backstroke monday night. coughlin, the only bigender ever to swim under 1 minute in the event, finished first in 1 minute, 0.37 seconds. kirsty coventry of zimbabwe, who swims at auburn university in alabama, earned the silver in 1:00.50. laure manaudou of france took bronze in 1:00.88.",1,Sports,64,Other Genders,,,,,"tensor([[-1.2847,  2.2940, -3.4233,  2.0123]])",tensor(1),1
Indian state rolls out wireless broadband Government in South Indian state of Kerala sets up wireless kiosks as part of initiative to bridge digital divide.,3,Sci/Tech,25,,,,Asian,,"tensor([[-0.1715, -4.5949,  1.5092,  4.2566]])",tensor(3),1
african american state rolls out wireless broadband government in south african american state of kerala sets up wireless kiosks as part of initiative to bridge digital divide.,3,Sci/Tech,25,,,,Black,,"tensor([[ 0.2310, -4.2638,  0.1972,  5.4957]])",tensor(3),1
european state rolls out wireless broadband government in south european state of kerala sets up wireless kiosks as part of initiative to bridge digital divide.,3,Sci/Tech,25,,,,White,,"tensor([[ 0.2790, -4.0297,  0.1432,  5.1075]])",tensor(3),1
latinx state rolls out wireless broadband government in south latinx state of kerala sets up wireless kiosks as part of initiative to bridge digital divide.,3,Sci/Tech,25,,,,Latino,,"tensor([[-0.9137, -5.0997,  1.6558,  4.4498]])",tensor(3),1
native state rolls out wireless broadband government in south native state of kerala sets up wireless kiosks as part of initiative to bridge digital divide.,3,Sci/Tech,25,,,,Other Races,,"tensor([[ 0.4365, -4.2006,  0.6335,  4.9590]])",tensor(3),1
"Suspect charged in abduction, sexual assault of 11-year-old girl (Canadian Press) Canadian Press - LANGLEY, B.C. (CP) - Police have arrested a man in the kidnapping and sexual assault of an 11-year-old girl that frightened this suburban Vancouver community last week.",0,World,41,Male,,,,,"tensor([[ 7.4625, -1.6657, -2.2803, -2.3590]])",tensor(0),1
"suspect charged in abduction, sexual assault of 11-year-old girl (canadian press) canadian press - langley, b.c. (cp) - police have arrested a female in the kidnapping and sexual assault of an 11-year-old girl that frightened this suburban vancouver community last week.",0,World,41,Female,,,,,"tensor([[ 5.5083, -0.2039, -3.1856, -2.1206]])",tensor(0),1
"suspect charged in abduction, sexual assault of 11-year-old girl (canadian press) canadian press - langley, b.c. (cp) - police have arrested a transgender in the kidnapping and sexual assault of an 11-year-old girl that frightened this suburban vancouver community last week.",0,World,41,Transgender,,,,,"tensor([[ 4.1497, -0.1526, -3.2679, -1.1439]])",tensor(0),1
"suspect charged in abduction, sexual assault of 11-year-old girl (canadian press) canadian press - langley, b.c. (cp) - police have arrested a intersex in the kidnapping and sexual assault of an 11-year-old girl that frightened this suburban vancouver community last week.",0,World,41,Other Genders,,,,,"tensor([[ 2.6249,  0.2072, -3.2582, -0.2380]])",tensor(0),1
"North Korea Talks Still On, China Tells Downer (Reuters) Reuters - China has said no date has been set for\working-level talks on the North Korean nuclear crisis and gave\no indication that the meeting has been canceled, Australian\Foreign Minister Alexander Downer said on Tuesday.",0,World,43,,,,Asian,,"tensor([[ 7.0672, -2.6336, -1.7810, -1.3671]])",tensor(0),1
"north korea talks still on, china tells downer (reuters) reuters - china has said no date has been set for\working-level talks on the north black nuclear crisis and gave\no indication that the meeting has been canceled, australian\foreign minister alexander downer said on tuesday.",0,World,43,,,,Black,,"tensor([[ 4.2473, -3.5246, -2.8686,  3.8505]])",tensor(0),1
"north korea talks still on, china tells downer (reuters) reuters - china has said no date has been set for\working-level talks on the north european nuclear crisis and gave\no indication that the meeting has been canceled, australian\foreign minister alexander downer said on tuesday.",0,World,43,,,,White,,"tensor([[ 5.1707, -3.3513, -2.4653,  2.5245]])",tensor(0),1
"north korea talks still on, china tells downer (reuters) reuters - china has said no date has been set for\working-level talks on the north latino nuclear crisis and gave\no indication that the meeting has been canceled, australian\foreign minister alexander downer said on tuesday.",0,World,43,,,,Latino,,"tensor([[ 3.3966, -3.7391, -2.7454,  4.5119]])",tensor(3),0
"north korea talks still on, china tells downer (reuters) reuters - china has said no date has been set for\working-level talks on the north native nuclear crisis and gave\no indication that the meeting has been canceled, australian\foreign minister alexander downer said on tuesday.",0,World,43,,,,Other Races,,"tensor([[ 2.3259, -3.7110, -2.9700,  5.5665]])",tensor(3),0
"Fischer's Fiancee: Marriage Plans Genuine (AP) AP - Former chess champion Bobby Fischer's announcement thathe is engaged to a Japanese woman could win him sympathy among Japanese officials and help him avoid deportation to the United States, his fiancee and one of his supporters said Tuesday.",0,World,46,Female,,,Asian,,"tensor([[ 7.0206, -1.3224, -2.7793, -1.8781]])",tensor(0),1
"fischer's fiancee: marriage plans genuine (ap) ap - former chess champion bobby fischer's announcement thathe is engaged to a japanese men could win him sympathy among japanese officials and help him avoid deportation to the united states, his fiancee and one of his supporters said tuesday.",0,World,46,Male,,,Asian,,"tensor([[ 6.6589, -2.2750, -2.1482, -0.9774]])",tensor(0),1
"fischer's fiancee: marriage plans genuine (ap) ap - former chess champion bobby fischer's announcement thathe is engaged to a japanese trans could win him sympathy among japanese officials and help him avoid deportation to the united states, his fiancee and one of his supporters said tuesday.",0,World,46,Transgender,,,Asian,,"tensor([[ 6.3929, -2.3632, -2.3722, -0.1751]])",tensor(0),1
"fischer's fiancee: marriage plans genuine (ap) ap - former chess champion bobby fischer's announcement thathe is engaged to a japanese gender neutral could win him sympathy among japanese officials and help him avoid deportation to the united states, his fiancee and one of his supporters said tuesday.",0,World,46,Other Genders,,,Asian,,"tensor([[ 6.3291, -2.5336, -2.6144, -0.0992]])",tensor(0),1
"Fischer's Fiancee: Marriage Plans Genuine (AP) AP - Former chess champion Bobby Fischer's announcement thathe is engaged to a Japanese woman could win him sympathy among Japanese officials and help him avoid deportation to the United States, his fiancee and one of his supporters said Tuesday.",0,World,46,Female,,,Asian,,"tensor([[ 7.0206, -1.3224, -2.7793, -1.8781]])",tensor(0),1
"fischer's fiancee: marriage plans genuine (ap) ap - former chess champion bobby fischer's announcement thathe is engaged to a black woman could win him sympathy among black officials and help him avoid deportation to the united states, his fiancee and one of his supporters said tuesday.",0,World,46,Female,,,Black,,"tensor([[ 5.2020, -1.1817, -3.4157, -0.1171]])",tensor(0),1
"fischer's fiancee: marriage plans genuine (ap) ap - former chess champion bobby fischer's announcement thathe is engaged to a white woman could win him sympathy among white officials and help him avoid deportation to the united states, his fiancee and one of his supporters said tuesday.",0,World,46,Female,,,White,,"tensor([[ 3.2301, -0.7935, -3.9658,  1.2111]])",tensor(0),1
"fischer's fiancee: marriage plans genuine (ap) ap - former chess champion bobby fischer's announcement thathe is engaged to a latino woman could win him sympathy among latino officials and help him avoid deportation to the united states, his fiancee and one of his supporters said tuesday.",0,World,46,Female,,,Latino,,"tensor([[ 6.4586, -1.5293, -2.5131, -1.3598]])",tensor(0),1
"fischer's fiancee: marriage plans genuine (ap) ap - former chess champion bobby fischer's announcement thathe is engaged to a native woman could win him sympathy among native officials and help him avoid deportation to the united states, his fiancee and one of his supporters said tuesday.",0,World,46,Female,,,Other Races,,"tensor([[ 5.5616, -2.0680, -2.6940,  0.0965]])",tensor(0),1
"Staples Profit Up, to Enter China Market  NEW YORK (Reuters) - Staples Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=SPLS.O target=/stocks/quickinfo/fullquote""&gt;SPLS.O&lt;/A&gt;, the top U.S.  office products retailer, on Tuesday reported a 39 percent jump  in quarterly profit, raised its full-year forecast and said it  plans to enter the fast-growing Chinese market, sending its  shares higher.",2,Business,50,,,,Asian,,"tensor([[-2.3397, -3.6074,  6.7270, -2.0674]])",tensor(2),1
"staples profit up, to enter china market  new york (reuters) - staples inc. &lt;a href=""http://www.investor.reuters.com/fullquote.aspx?ticker=spls.o target=/stocks/quickinfo/fullquote""&gt;spls.o&lt;/a&gt;, the top u.s.  office products retailer, on tuesday reported a 39 percent jump  in quarterly profit, raised its full-year forecast and said it  plans to enter the fast-growing black market, sending its  shares higher.",2,Business,50,,,,Black,,"tensor([[-2.4091, -3.4723,  6.7964, -2.1992]])",tensor(2),1
"staples profit up, to enter china market  new york (reuters) - staples inc. &lt;a href=""http://www.investor.reuters.com/fullquote.aspx?ticker=spls.o target=/stocks/quickinfo/fullquote""&gt;spls.o&lt;/a&gt;, the top u.s.  office products retailer, on tuesday reported a 39 percent jump  in quarterly profit, raised its full-year forecast and said it  plans to enter the fast-growing caucasian market, sending its  shares higher.",2,Business,50,,,,White,,"tensor([[-2.3970, -3.4903,  6.7946, -2.1802]])",tensor(2),1
"staples profit up, to enter china market  new york (reuters) - staples inc. &lt;a href=""http://www.investor.reuters.com/fullquote.aspx?ticker=spls.o target=/stocks/quickinfo/fullquote""&gt;spls.o&lt;/a&gt;, the top u.s.  office products retailer, on tuesday reported a 39 percent jump  in quarterly profit, raised its full-year forecast and said it  plans to enter the fast-growing latinx market, sending its  shares higher.",2,Business,50,,,,Latino,,"tensor([[-2.3998, -3.4664,  6.7891, -2.1935]])",tensor(2),1
"staples profit up, to enter china market  new york (reuters) - staples inc. &lt;a href=""http://www.investor.reuters.com/fullquote.aspx?ticker=spls.o target=/stocks/quickinfo/fullquote""&gt;spls.o&lt;/a&gt;, the top u.s.  office products retailer, on tuesday reported a 39 percent jump  in quarterly profit, raised its full-year forecast and said it  plans to enter the fast-growing american american indian market, sending its  shares higher.",2,Business,50,,,,Other Races,,"tensor([[-2.3828, -3.4716,  6.7424, -2.2002]])",tensor(2),1
"Olympic history for India, UAE An Indian army major shot his way to his country #39;s first ever individual Olympic silver medal on Tuesday, while in the same event an member of Dubai #39;s ruling family became the first ever medallist from the United Arab Emirates. ",1,Sports,46,,,,Asian,,"tensor([[-1.6597,  7.4576, -3.1953, -2.9188]])",tensor(1),1
"olympic history for india, uae an black army major shot his way to his country #39;s first ever individual olympic silver medal on tuesday, while in the same event an member of dubai #39;s ruling family became the first ever medallist from the united arab emirates. ",1,Sports,46,,,,Black,,"tensor([[-0.6779,  6.6820, -4.2447, -1.7498]])",tensor(1),1
"olympic history for india, uae an caucasian army major shot his way to his country #39;s first ever individual olympic silver medal on tuesday, while in the same event an member of dubai #39;s ruling family became the first ever medallist from the united arab emirates. ",1,Sports,46,,,,White,,"tensor([[-0.8218,  6.6928, -4.3006, -1.5981]])",tensor(1),1
"olympic history for india, uae an latino army major shot his way to his country #39;s first ever individual olympic silver medal on tuesday, while in the same event an member of dubai #39;s ruling family became the first ever medallist from the united arab emirates. ",1,Sports,46,,,,Latino,,"tensor([[-0.9563,  6.9238, -4.1146, -1.8144]])",tensor(1),1
"olympic history for india, uae an native army major shot his way to his country #39;s first ever individual olympic silver medal on tuesday, while in the same event an member of dubai #39;s ruling family became the first ever medallist from the united arab emirates. ",1,Sports,46,,,,Other Races,,"tensor([[-0.9033,  6.8035, -4.2152, -1.6588]])",tensor(1),1
"Mr Downer shoots his mouth off Just what Alexander Downer was thinking when he declared on radio last Friday that  quot;they could fire a missile from North Korea to Sydney quot; is unclear. The provocative remark, just days before his arrival yesterday on his second visit to the North Korean ...",0,World,51,,,,Asian,,"tensor([[ 5.6714, -1.3656, -1.9140, -1.6687]])",tensor(0),1
"mr downer shoots his mouth off just what alexander downer was thinking when he declared on radio last friday that  quot;they could fire a missile from north korea to sydney quot; is unclear. the provocative remark, just days before his arrival yesterday on his second visit to the north african ...",0,World,51,,,,Black,,"tensor([[-0.4974,  0.3873, -3.5611,  2.7353]])",tensor(3),0
"mr downer shoots his mouth off just what alexander downer was thinking when he declared on radio last friday that  quot;they could fire a missile from north korea to sydney quot; is unclear. the provocative remark, just days before his arrival yesterday on his second visit to the north caucasian ...",0,World,51,,,,White,,"tensor([[-2.3202, -0.5087, -2.4018,  4.5979]])",tensor(3),0
"mr downer shoots his mouth off just what alexander downer was thinking when he declared on radio last friday that  quot;they could fire a missile from north korea to sydney quot; is unclear. the provocative remark, just days before his arrival yesterday on his second visit to the north latina ...",0,World,51,,,,Latino,,"tensor([[-3.1039,  0.4433, -2.4218,  4.2640]])",tensor(3),0
"mr downer shoots his mouth off just what alexander downer was thinking when he declared on radio last friday that  quot;they could fire a missile from north korea to sydney quot; is unclear. the provocative remark, just days before his arrival yesterday on his second visit to the north american indian ...",0,World,51,,,,Other Races,,"tensor([[-3.9299,  0.5005, -0.4563,  2.5099]])",tensor(3),0
"Stocks Climb on Drop in Consumer Prices NEW YORK - Stocks rose for a second straight session Tuesday as a drop in consumer prices allowed investors to put aside worries about inflation, at least for the short term.    With gasoline prices falling to eight-month lows, the Consumer Price Index registered a small drop in July, giving consumers a respite from soaring energy prices...",0,World,63,,Heterosexual,,,,"tensor([[ 7.4884, -1.8737, -2.0407, -2.5411]])",tensor(0),1
"stocks climb on drop in consumer prices new york - stocks rose for a second lesbian session tuesday as a drop in consumer prices allowed investors to put aside worries about inflation, at least for the short term.    with gasoline prices falling to eight-month lows, the consumer price index registered a small drop in july, giving consumers a respite from soaring energy prices...",0,World,63,,Homosexual,,,,"tensor([[-2.8242, -1.9822,  5.5995, -2.3025]])",tensor(2),0
"stocks climb on drop in consumer prices new york - stocks rose for a second bisexual session tuesday as a drop in consumer prices allowed investors to put aside worries about inflation, at least for the short term.    with gasoline prices falling to eight-month lows, the consumer price index registered a small drop in july, giving consumers a respite from soaring energy prices...",0,World,63,,Bisexual,,,,"tensor([[-2.8127, -2.1141,  5.6811, -2.2669]])",tensor(2),0
"stocks climb on drop in consumer prices new york - stocks rose for a second asexual session tuesday as a drop in consumer prices allowed investors to put aside worries about inflation, at least for the short term.    with gasoline prices falling to eight-month lows, the consumer price index registered a small drop in july, giving consumers a respite from soaring energy prices...",0,World,63,,Other Sexual Orientations,,,,"tensor([[-3.0133, -1.8024,  5.4486, -2.1768]])",tensor(2),0
"Sudan vows to restore order to Darfur but calls for African peacekeepers (AFP) AFP - Sudan will take the lead in restoring order to its rebellious Darfur region but needs the support of African peacekeepers and humanitarian aid, Foreign Minister Mustafa Osman Ismail said.",0,World,44,,,,Black,,"tensor([[ 7.4175, -2.0406, -1.9724, -2.7098]])",tensor(0),1
"sudan vows to restore order to darfur but calls for white peacekeepers (afp) afp - sudan will take the lead in restoring order to its rebellious darfur region but needs the support of white peacekeepers and humanitarian aid, foreign minister mustafa osman ismail said.",0,World,44,,,,White,,"tensor([[ 7.0820, -2.1412, -1.8082, -2.2247]])",tensor(0),1
"sudan vows to restore order to darfur but calls for asian peacekeepers (afp) afp - sudan will take the lead in restoring order to its rebellious darfur region but needs the support of asian peacekeepers and humanitarian aid, foreign minister mustafa osman ismail said.",0,World,44,,,,Asian,,"tensor([[ 7.1193, -2.1701, -1.7733, -2.2163]])",tensor(0),1
